rank_abs_lr_coef,gene_id,gene_id_base,gene_name,lr_coef,abs_lr_coef,direction_if_high,scaler_mean,scaler_scale
593,ENSG00000170345.10,ENSG00000170345,,-0.03851690481295943,0.03851690481295943,normal,7.9541172943609295,2.0997381928463663
594,ENSG00000126709.15,ENSG00000126709,,0.038513205070829316,0.038513205070829316,tumor,8.420648437201953,1.711732540837533
595,ENSG00000109906.14,ENSG00000109906,,0.03847180186004415,0.03847180186004415,tumor,2.617266040402806,1.856426175573826
596,ENSG00000167088.11,ENSG00000167088,,-0.03831325500597988,0.03831325500597988,normal,4.639709416200737,0.8134149912786145
597,ENSG00000123243.15,ENSG00000123243,,-0.03829828505703769,0.03829828505703769,normal,3.0090108659312427,1.7434453787388742
598,ENSG00000185122.11,ENSG00000185122,,0.0381983261754379,0.0381983261754379,tumor,5.605537002263124,0.7229256204906875
599,ENSG00000197070.14,ENSG00000197070,,-0.03819582239749026,0.03819582239749026,normal,4.881453611703479,0.9106424060772722
600,ENSG00000140538.16,ENSG00000140538,,-0.03815245463524522,0.03815245463524522,normal,0.5769358061824618,0.6760081780350414
601,ENSG00000164303.11,ENSG00000164303,,-0.03806128591823692,0.03806128591823692,normal,0.8116759166286353,1.0849068035972473
602,ENSG00000176973.8,ENSG00000176973,,0.03801811995507095,0.03801811995507095,tumor,2.8654182348472927,0.8349847821661897
603,ENSG00000107159.13,ENSG00000107159,,0.037994042966302675,0.037994042966302675,tumor,2.5750268811012473,2.781836788991361
604,ENSG00000169762.17,ENSG00000169762,,-0.037971726916294475,0.037971726916294475,normal,3.6962457641892654,0.7972331416319064
605,ENSG00000198535.5,ENSG00000198535,,0.03795797324534166,0.03795797324534166,tumor,1.6604167013489484,1.604248682822172
606,ENSG00000103245.14,ENSG00000103245,,-0.0379539158030938,0.0379539158030938,normal,3.292846320628868,0.631835091276732
607,ENSG00000196890.4,ENSG00000196890,,0.037952675434115166,0.037952675434115166,tumor,0.9742233019083321,1.0194053108995087
608,ENSG00000105618.14,ENSG00000105618,,-0.03793506312530021,0.03793506312530021,normal,5.264199757517575,0.6733467520695671
609,ENSG00000105726.17,ENSG00000105726,,0.037934139140543555,0.037934139140543555,tumor,4.907189257587031,0.7133484562895197
610,ENSG00000187193.9,ENSG00000187193,,-0.03792777662867468,0.03792777662867468,normal,4.309632661452126,1.6800775429258727
611,ENSG00000180879.14,ENSG00000180879,,-0.03785968008211703,0.03785968008211703,normal,6.796645386409832,0.8462789499740597
612,ENSG00000197903.8,ENSG00000197903,,0.03784016388223909,0.03784016388223909,tumor,6.540460364105727,1.42960567675028
613,ENSG00000197930.13,ENSG00000197930,,0.037697363742324574,0.037697363742324574,tumor,4.959423518734886,1.1103560306711566
614,ENSG00000129250.12,ENSG00000129250,,-0.037685936800436595,0.037685936800436595,normal,5.983994168860171,0.7921785919767208
615,ENSG00000184967.7,ENSG00000184967,,-0.037531456511237064,0.037531456511237064,normal,5.00523153808314,0.7138374808738973
616,ENSG00000106638.17,ENSG00000106638,,0.03751795915533891,0.03751795915533891,tumor,4.56643523310386,0.7409988068216222
617,ENSG00000196262.15,ENSG00000196262,,-0.03748561698381377,0.03748561698381377,normal,7.189493971218656,0.6723503855831998
618,ENSG00000204370.13,ENSG00000204370,,-0.037397452626136946,0.037397452626136946,normal,5.998199829924644,0.759624349584456
619,ENSG00000119705.10,ENSG00000119705,,0.03731829094108539,0.03731829094108539,tumor,5.072517589260063,0.6184365274797532
620,ENSG00000081377.17,ENSG00000081377,,-0.03731338655097619,0.03731338655097619,normal,3.0566854023275907,0.8963608474784529
621,ENSG00000184347.15,ENSG00000184347,,0.037152487281020705,0.037152487281020705,tumor,3.102496636194435,1.7564043161083385
622,ENSG00000137135.18,ENSG00000137135,,0.03714348493954206,0.03714348493954206,tumor,1.4096552056404363,0.965368491540638
623,ENSG00000080503.24,ENSG00000080503,,-0.03707885192821941,0.03707885192821941,normal,4.306506967815117,1.0503173340207337
624,ENSG00000166803.14,ENSG00000166803,,-0.03699515893650005,0.03699515893650005,normal,1.8761005951777088,1.2474097186182058
625,ENSG00000111057.11,ENSG00000111057,,0.036994933221240305,0.036994933221240305,tumor,8.41217409652718,1.4979489183841261
626,ENSG00000265354.4,ENSG00000265354,,-0.036974712314768385,0.036974712314768385,normal,6.916052776039896,0.5598466507445952
